timestamp_group,LIC_22311020,LIC_22311020.ES,LIC_22311020.MV,LIC_22311020.SV,PX_22311020.C1,PX_22311020.C2,PX_22311020.DEVPOS,PX_22311020.DIFF,PX_22311020.OUT,PX_22311020.PRESS,PX_22311020.RB,PX_22311020.TEMP,target
2015-10-15 10:25:46.336456,59.8771057,1.0,30.072546,60.0,,,,,,,,,1.0
2015-10-15 11:54:43.259002,60.1739922,1.0,29.9192467,60.0,,,,,,,,,1.0
2015-10-15 12:36:48.879013,59.9762268,1.0,31.30685835,60.0,,,,,,,,,1.0
2015-10-15 13:22:52.749008,60.5628738,1.0,32.69447,60.0,,,,,,,,,1.0
2015-10-15 14:09:17.128005,59.9142876,1.0,34.4402011,60.0,,,,,,,,,1.0
2015-10-15 14:55:41.908004,59.956307425,1.0,36.1859322,60.0,,,,,,,,,1.0
2015-10-15 15:41:01.860000,59.99832725,1.0,35.597742100000005,60.0,,,,,,,,,1.0
2015-10-15 16:18:57.276000,60.040347075,1.0,35.009552,60.0,,,,,,,,,1.0
2015-10-15 17:04:41.130004,60.0823669,1.0,35.4968376,60.0,,,,,,,,,1.0
2015-10-15 18:17:28.018005,60.0772266,1.0,31.9290638,60.0,,,,,,,,,1.0
2015-10-15 19:06:14.327011,60.0720863,1.0,32.2438,60.0,,,,,,,,,1.0
2015-10-15 19:37:03.003005,59.9757404,1.0,31.8673508,60.0,,,,,,,,,1.0
2015-10-15 20:08:57.864013,59.8793945,1.0,31.4909016,60.0,,,,,,,,,1.0
2015-10-15 21:12:41.851013,59.95183433333333,1.0,31.1144524,60.0,,,,,,,,,1.0
2015-10-15 21:51:19.510009,60.024274166666665,1.0,33.67449,60.0,,,,,,,,,1.0
2015-10-15 22:21:20.114013,60.096714,1.0,34.9901619,60.0,,,,,,,,,1.0
2015-10-15 23:02:55.045013,60.54099,1.0,36.3058338,60.0,,,,,,,,,1.0
2015-10-16 00:01:04.764007,59.6122131,1.0,37.6215057,60.0,,,,,,,,,1.0
